"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-03","5.59","0.04","0.0","0.0",,"80","54","  220","  220","14.1","21.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-04","5.82","0.00","0.0","0.0",,"75","50","  290","  310","18.1","36.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-05","6.71","0.00","0.0","0.0",,"63","46","  280","  250","14.1","21.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-06","5.59","0.06","0.0","0.0",,"52","45","   60","   60","14.1","19.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-07","6.04","0.00","0.0","0.0",,"67","46","  290","  250","14.1","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-08","4.25","0.45","0.0","0.0",,"57","36","  300","  310","15.0","25.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-09","8.95","0.03","0.0","0.0",,"48","34","  280","  280","21.0","36.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-10","7.38","0.00","0.0","0.0",,"64","39","  250","  230","18.1","29.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-11","5.82","0.05","0.0","0.0",,"61","44","  270","  240","19.9","36.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-12","7.83","0.00","0.0","0.0",,"59","43","  280","  260","17.0","29.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-13","5.37","0.00","0.0","0.0",,"64","41","  280","  280","13.0","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-14","2.24","0.00","0.0","0.0",,"67","47","  160","  130","10.1","19.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-15","4.92","0.07","0.0","0.0",,"84","60","  260","  220","14.1","23.0","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-16","3.80","0.01","0.0","0.0",,"77","59","  150","  250","12.1","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-17","3.13","0.00","0.0","0.0",,"69","55","  130","  120","10.1","16.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-18",,"0.00","0.0","0.0",,"70","54",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-19",,"0.00","0.0","0.0",,"68","53",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-20",,"0.00","0.0","0.0",,"66","49",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-21",,"0.00","0.0","0.0",,"68","46",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-22",,"0.03","0.0","0.0",,"77","54",,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-23",,"0.65","0.0","0.0",,"67","55",,,,,"    1","    1","    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-24",,"0.00","0.0","0.0",,"67","52",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-25",,"0.00","0.0","0.0",,"71","55",,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-26",,"0.00","0.0","0.0",,"78","58",,,,,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-27",,"0.00","0.0","0.0",,"79","60",,,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-28",,"0.00","0.0","0.0",,"76","64",,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-29",,"0.03","0.0","0.0",,"81","67",,,,,"    1",,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-30",,"0.02","0.0","0.0",,"81","67",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-31",,"0.00","0.0","0.0",,"70","56",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-06-01",,"0.00","0.0","0.0",,"70","51",,,,,,,,
